date,open,high,low,close,volume
02/11/2025,228.20,235.23,228.13,232.62,53718360
02/10/2025,229.57,230.585,227.20,227.65,33115650
02/07/2025,232.60,234.00,227.26,227.63,39707220
02/06/2025,231.285,233.80,230.425,233.22,29925350
02/05/2025,228.53,232.67,228.27,232.47,39664990
02/04/2025,227.25,233.13,226.65,232.80,45067300
02/03/2025,229.99,231.83,225.70,228.01,73063300
01/31/2025,247.19,247.19,233.44,236.00,101075100
01/30/2025,238.665,240.79,237.21,237.59,55658280
01/29/2025,234.12,239.855,234.01,239.36,45486100
01/28/2025,230.85,240.19,230.81,238.26,75707570
01/27/2025,224.02,232.15,223.98,229.86,94863420
01/24/2025,224.78,225.63,221.41,222.78,54697910
01/23/2025,224.74,227.03,222.30,223.66,60234760
01/22/2025,219.79,224.12,219.79,223.83,64126500
01/21/2025,224.00,224.42,219.38,222.64,98070430
01/17/2025,232.115,232.29,228.48,229.98,68488300
01/16/2025,237.35,238.01,228.03,228.26,71759050
01/15/2025,234.635,238.96,234.43,237.87,39831970
01/14/2025,234.75,236.12,232.472,233.28,39435290
01/13/2025,233.53,234.67,229.72,234.40,49630730
01/10/2025,240.01,240.16,233.00,236.85,61710860
01/08/2025,241.92,243.7123,240.05,242.70,37628940
01/07/2025,242.98,245.55,241.35,242.21,40855960
01/06/2025,244.31,247.33,243.20,245.00,45045570
01/03/2025,243.36,244.18,241.89,243.36,40244110
01/02/2025,248.93,249.10,241.8201,243.85,55740730
12/31/2024,252.44,253.28,249.43,250.42,39480720
12/30/2024,252.23,253.50,250.75,252.20,35557540
12/27/2024,257.83,258.70,253.06,255.59,42355320
12/26/2024,258.19,260.10,257.63,259.02,27262980
12/24/2024,255.49,258.21,255.29,258.20,23234710
12/23/2024,254.77,255.65,253.45,255.27,40858770
12/20/2024,248.04,255.00,245.69,254.49,147495300
12/19/2024,247.50,252.00,247.0949,249.79,60882260
12/18/2024,252.16,254.28,247.74,248.05,56774100
12/17/2024,250.08,253.83,249.78,253.48,51356360
12/16/2024,247.99,251.38,247.65,251.04,51694750
12/13/2024,247.815,249.2902,246.24,248.13,33155290
12/12/2024,246.89,248.74,245.68,247.96,32777530
12/11/2024,247.96,250.80,246.2601,246.49,45205810
12/10/2024,246.89,248.21,245.34,247.77,36914810
12/09/2024,241.83,247.24,241.75,246.75,44649230
12/06/2024,242.905,244.63,242.08,242.84,36870620
12/05/2024,243.99,244.54,242.13,243.04,40033880
12/04/2024,242.87,244.11,241.25,243.01,44383940
12/03/2024,239.81,242.76,238.90,242.65,38861020
12/02/2024,237.27,240.79,237.16,239.59,48137100
11/29/2024,234.805,237.81,233.97,237.33,28481380
11/27/2024,234.465,235.69,233.8101,234.93,33498440
11/26/2024,233.33,235.57,233.33,235.06,45986190
11/25/2024,231.46,233.245,229.74,232.87,90152830
11/22/2024,228.06,230.7199,228.06,229.87,38168250
11/21/2024,228.88,230.155,225.7103,228.52,42108330
11/20/2024,228.06,229.93,225.89,229.00,35169570
11/19/2024,226.98,230.16,226.66,228.28,36211770
11/18/2024,225.25,229.74,225.17,228.02,44686020
11/15/2024,226.40,226.92,224.27,225.00,47923700
11/14/2024,225.02,228.87,225.00,228.22,44923940
11/13/2024,224.01,226.65,222.76,225.12,48566220
11/12/2024,224.55,225.59,223.355,224.23,40398300
11/11/2024,225.00,225.70,221.50,224.23,42005600
11/08/2024,227.17,228.66,226.405,226.96,38328820
11/07/2024,224.625,227.875,224.57,227.48,42137690
11/06/2024,222.61,226.065,221.19,222.72,54561120
11/05/2024,221.795,223.95,221.14,223.45,28111340
11/04/2024,220.99,222.79,219.71,222.01,44944470
11/01/2024,220.965,225.35,220.27,222.91,65276740
10/31/2024,229.34,229.83,225.37,225.91,64370090
10/30/2024,232.61,233.47,229.55,230.10,47070910
10/29/2024,233.10,234.325,232.32,233.67,35417250
10/28/2024,233.32,234.73,232.55,233.40,36087130
10/25/2024,229.74,233.22,229.57,231.41,38802300
10/24/2024,229.98,230.82,228.41,230.57,31109500
10/23/2024,234.08,235.144,227.76,230.76,52286980
10/22/2024,233.885,236.22,232.60,235.86,38846580
10/21/2024,234.45,236.85,234.45,236.48,36254470
10/18/2024,236.18,236.18,234.01,235.00,46431470
10/17/2024,233.43,233.85,230.52,232.15,32993810
10/16/2024,231.60,232.12,229.84,231.78,34082240
10/15/2024,233.61,237.49,232.37,233.85,64751370
10/14/2024,228.70,231.73,228.60,231.30,39882090
10/11/2024,229.30,229.41,227.34,227.55,31759190
10/10/2024,227.78,229.50,227.17,229.04,28183540
10/09/2024,225.23,229.75,224.83,229.54,33591090
10/08/2024,224.30,225.98,223.25,225.77,31855690
10/07/2024,224.50,225.69,221.33,221.69,39505350
10/04/2024,227.90,228.00,224.13,226.80,37345100
10/03/2024,225.14,226.805,223.32,225.67,34044160
10/02/2024,225.89,227.37,223.02,226.78,32880610
10/01/2024,229.52,229.65,223.74,226.21,63285050
09/30/2024,230.04,233.00,229.65,233.00,54793390
09/27/2024,228.46,229.52,227.30,227.79,34025970
09/26/2024,227.30,228.50,225.41,227.52,36636710
09/25/2024,224.93,227.29,224.02,226.37,42308720
09/24/2024,228.645,229.35,225.73,227.37,43556070
09/23/2024,227.34,229.45,225.81,226.47,54146020
09/20/2024,229.97,233.09,227.62,228.20,318679900
09/19/2024,224.99,229.82,224.63,228.87,66781320
09/18/2024,217.55,222.71,217.54,220.69,59894930
09/17/2024,215.75,216.90,214.50,216.79,45519340
09/16/2024,216.54,217.22,213.92,216.32,59357430
09/13/2024,223.58,224.04,221.91,222.50,36766620
09/12/2024,222.50,223.55,219.82,222.77,37498230
09/11/2024,221.455,223.09,217.89,222.66,44587070
09/10/2024,218.92,221.48,216.73,220.11,51591030
09/09/2024,220.82,221.27,216.71,220.91,67179970
09/06/2024,223.95,225.24,219.77,220.82,48423010
09/05/2024,221.625,225.48,221.52,222.38,36615400
09/04/2024,221.66,221.78,217.48,220.85,43840200
09/03/2024,228.55,229.00,221.17,222.77,50190570
08/30/2024,230.19,230.40,227.48,229.00,52990770
08/29/2024,230.10,232.92,228.88,229.79,51906300
08/28/2024,227.92,229.86,225.68,226.49,38052170
08/27/2024,225.995,228.85,224.89,228.03,35934560
08/26/2024,226.76,227.28,223.8905,227.18,30602210
08/23/2024,225.659,228.22,224.33,226.84,38677250
08/22/2024,227.79,228.34,223.90,224.53,43695320
08/21/2024,226.52,227.98,225.05,226.40,34765480
08/20/2024,225.77,227.17,225.45,226.51,30299030
08/19/2024,225.72,225.99,223.04,225.89,40687810
08/16/2024,223.92,226.8271,223.6501,226.05,44340240
08/15/2024,224.60,225.35,222.76,224.72,46414010
08/14/2024,220.57,223.03,219.70,221.72,41960570
08/13/2024,219.01,221.89,219.01,221.27,44155330
08/12/2024,216.07,219.5099,215.60,217.53,38028090
08/09/2024,212.10,216.78,211.97,216.24,42201650
08/08/2024,213.11,214.20,208.83,213.31,47161150
08/07/2024,206.90,213.64,206.39,209.82,63516420
08/06/2024,205.30,209.99,201.07,207.23,69660490
08/05/2024,199.09,213.50,196.00,209.27,119548600
08/02/2024,219.15,225.60,217.71,219.86,105568600
08/01/2024,224.37,224.48,217.02,218.36,62501000
07/31/2024,221.44,223.82,220.63,222.08,50036260
07/30/2024,219.19,220.325,216.12,218.80,41643840
07/29/2024,216.96,219.30,215.75,218.24,36311780
07/26/2024,218.70,219.49,216.01,217.96,41601350
07/25/2024,218.93,220.85,214.62,217.49,51391200
07/24/2024,224.00,224.80,217.13,218.54,61777580
07/23/2024,224.365,226.94,222.68,225.01,39960260
07/22/2024,227.01,227.78,223.09,223.96,48201840
07/19/2024,224.82,226.80,223.275,224.31,49151450
07/18/2024,230.28,230.44,222.27,224.18,66034590
07/17/2024,229.45,231.4599,226.64,228.88,57345880
07/16/2024,235.00,236.27,232.33,234.82,43234280
07/15/2024,236.48,237.23,233.09,234.40,62631250
07/12/2024,228.92,232.64,228.68,230.54,53046530
07/11/2024,231.39,232.39,225.77,227.57,64710620
07/10/2024,229.30,233.08,229.25,232.98,62627690
07/09/2024,227.93,229.40,226.3721,228.68,48169820
07/08/2024,227.09,227.85,223.25,227.82,59085860
07/05/2024,221.65,226.45,221.65,226.34,60412410
07/03/2024,220.00,221.55,219.03,221.55,37369800
07/02/2024,216.15,220.38,215.10,220.27,58046180
07/01/2024,212.09,217.51,211.92,216.75,60402930
06/28/2024,215.77,216.07,210.30,210.62,82542720
06/27/2024,214.69,215.7395,212.35,214.10,49772710
06/26/2024,211.50,214.86,210.64,213.25,66213190
06/25/2024,209.15,211.38,208.61,209.07,56713870
06/24/2024,207.72,212.70,206.59,208.14,80727010
06/21/2024,210.39,211.89,207.11,207.49,246421400
06/20/2024,213.93,214.24,208.85,209.68,86172450
06/18/2024,217.59,218.63,213.00,214.29,79943250
06/17/2024,213.37,218.95,212.72,216.67,93728300
06/14/2024,213.85,215.17,211.30,212.49,70122750
06/13/2024,214.74,216.75,211.60,214.24,97862730
06/12/2024,207.37,220.20,206.90,213.07,198134300
06/11/2024,193.65,207.16,193.63,207.15,172373300
06/10/2024,196.90,197.30,192.15,193.12,97262080
06/07/2024,194.65,196.94,194.14,196.89,53103910
06/06/2024,195.685,196.50,194.17,194.48,41181750
06/05/2024,195.40,196.90,194.87,195.87,54156790
06/04/2024,194.635,195.32,193.0342,194.35,47471450
06/03/2024,192.90,194.99,192.52,194.03,50080540
05/31/2024,191.44,192.57,189.91,192.25,75158280
05/30/2024,190.76,192.18,190.63,191.29,49947940
05/29/2024,189.61,192.247,189.51,190.29,53068020
05/28/2024,191.51,193.00,189.10,189.99,52280050
05/24/2024,188.82,190.58,188.0404,189.98,36326980
