date,open,high,low,close,volume
02/11/2025,21629.11,21776.25,21625.51,21693.52,0
02/10/2025,21670.06,21793.13,21645.17,21756.73,0
02/07/2025,21776.28,21869.32,21465.46,21491.31,0
02/06/2025,21674.17,21776.08,21618.25,21774.07,0
02/05/2025,21453.87,21662.98,21408.64,21658.16,0
02/04/2025,21319.58,21582.40,21308.24,21566.92,0
02/03/2025,21084.64,21406.58,21004.35,21297.58,0
01/31/2025,21661.56,21846.01,21425.79,21478.05,0
01/30/2025,21519.81,21623.45,21308.69,21508.12,0
01/29/2025,21473.01,21477.88,21251.80,21411.46,0
01/28/2025,21186.08,21500.73,21043.13,21463.04,0
01/27/2025,21000.17,21292.54,20974.90,21127.28,0
01/24/2025,21915.48,21945.48,21709.06,21774.01,0
01/23/2025,21737.24,21900.93,21722.04,21900.93,0
01/22/2025,21756.23,21943.04,21756.23,21853.00,0
01/21/2025,21557.82,21620.23,21379.06,21566.51,0
01/17/2025,21461.90,21515.76,21334.63,21441.15,0
01/16/2025,21324.97,21330.59,21087.85,21091.25,0
01/15/2025,21067.81,21286.01,21024.27,21237.85,0
01/14/2025,20896.36,20969.52,20622.72,20757.41,0
01/13/2025,20593.65,20797.10,20538.33,20784.72,0
01/10/2025,21012.29,21015.51,20718.78,20847.58,0
01/08/2025,21156.76,21242.61,20992.08,21180.96,0
01/07/2025,21619.89,21621.25,21101.09,21173.04,0
01/06/2025,21551.18,21703.49,21462.52,21559.50,0
01/03/2025,21096.79,21359.63,21075.89,21326.16,0
01/02/2025,21120.05,21236.59,20800.50,20975.62,0
12/31/2024,21256.02,21276.14,20979.52,21012.17,0
12/30/2024,21189.10,21346.06,21046.63,21197.09,0
12/27/2024,21633.10,21642.26,21292.19,21473.01,0
12/26/2024,21733.98,21837.70,21645.62,21768.31,0
12/24/2024,21564.37,21797.65,21558.97,21797.65,0
12/23/2024,21364.26,21510.09,21224.27,21503.17,0
12/20/2024,20939.64,21540.32,20913.72,21289.15,0
12/19/2024,21358.79,21413.74,21093.45,21110.51,0
12/18/2024,21979.53,22038.08,21146.83,21209.31,0
12/17/2024,22003.64,22062.00,21921.21,22001.08,0
12/16/2024,21891.36,22133.22,21879.74,22096.66,0
12/13/2024,21789.65,21886.74,21646.09,21780.25,0
12/12/2024,21652.85,21715.83,21596.66,21615.27,0
12/11/2024,21540.38,21784.71,21533.89,21763.98,0
12/10/2024,21492.51,21567.02,21313.27,21368.18,0
12/09/2024,21573.76,21609.99,21400.77,21440.82,0
12/06/2024,21458.58,21626.31,21449.62,21622.25,0
12/05/2024,21488.52,21517.49,21411.53,21425.22,0
12/04/2024,21361.81,21498.44,21340.84,21492.36,0
12/03/2024,21106.51,21235.79,21081.81,21229.32,0
12/02/2024,20971.76,21201.03,20971.76,21164.60,0
11/29/2024,20771.02,20956.31,20751.96,20930.37,0
11/27/2024,20852.43,20853.08,20615.42,20744.49,0
11/26/2024,20871.55,20944.90,20832.40,20922.90,0
11/25/2024,20918.76,20998.48,20712.38,20804.89,0
11/22/2024,20737.49,20797.24,20655.72,20776.23,0
11/21/2024,20775.27,20814.93,20436.80,20740.78,0
11/20/2024,20660.84,20676.57,20402.55,20667.10,0
11/19/2024,20435.68,20696.47,20423.30,20684.59,0
11/18/2024,20450.20,20622.28,20401.26,20539.19,0
11/15/2024,20679.98,20684.57,20315.08,20394.13,0
11/14/2024,21052.07,21067.66,20864.02,20896.67,0
11/13/2024,21049.66,21154.94,20955.24,21036.16,0
11/12/2024,21105.49,21144.67,20946.74,21070.79,0
11/11/2024,21171.24,21182.02,20993.48,21106.59,0
11/08/2024,21083.58,21155.00,21050.32,21117.18,0
11/07/2024,20896.41,21132.80,20896.41,21101.57,0
11/06/2024,20571.29,20807.03,20526.64,20781.33,0
11/05/2024,20042.93,20249.20,20042.93,20227.46,0
11/04/2024,20011.55,20106.99,19898.57,19963.60,0
11/01/2024,19955.83,20162.54,19950.99,20033.14,0
10/31/2024,20227.19,20227.19,19880.26,19890.42,0
10/30/2024,20510.92,20559.52,20378.75,20387.70,0
10/29/2024,20369.08,20600.10,20294.58,20550.65,0
10/28/2024,20455.01,20470.43,20344.82,20351.07,0
10/25/2024,20354.91,20552.82,20322.25,20352.02,0
10/24/2024,20197.62,20256.38,20116.88,20232.87,0
10/23/2024,20303.55,20312.78,19934.92,20066.96,0
10/22/2024,20256.97,20437.93,20218.85,20383.65,0
10/21/2024,20280.49,20386.68,20193.03,20361.47,0
10/18/2024,20288.48,20360.29,20273.55,20324.04,0
10/17/2024,20375.29,20377.65,20186.43,20190.42,0
10/16/2024,20172.87,20200.59,20036.73,20174.05,0
10/15/2024,20442.77,20484.31,20083.55,20159.83,0
10/14/2024,20366.06,20493.90,20355.06,20439.05,0
10/11/2024,20154.83,20313.20,20142.18,20271.97,0
10/10/2024,20165.25,20314.24,20117.20,20241.76,0
10/09/2024,20097.56,20284.42,20047.86,20268.86,0
10/08/2024,19902.21,20132.67,19881.08,20107.78,0
10/07/2024,19954.66,19990.12,19763.04,19800.74,0
10/04/2024,20025.16,20045.69,19829.49,20035.02,0
10/03/2024,19712.33,19902.70,19688.22,19793.34,0
10/02/2024,19725.95,19876.70,19630.91,19802.58,0
10/01/2024,20046.06,20056.20,19622.29,19773.30,0
09/30/2024,19959.26,20072.42,19852.85,20060.69,0
09/27/2024,20147.27,20152.53,19964.13,20008.62,0
09/26/2024,20273.30,20273.30,19966.99,20115.54,0
09/25/2024,19922.28,20043.43,19921.22,19972.61,0
09/24/2024,19917.56,19984.47,19739.67,19944.84,0
09/23/2024,19848.71,19892.78,19797.82,19852.20,0
09/20/2024,19816.29,19845.70,19632.73,19791.49,0
09/19/2024,19798.71,19951.79,19723.94,19839.83,0
09/18/2024,19478.51,19643.51,19330.81,19344.49,0
09/17/2024,19539.75,19596.34,19337.12,19432.40,0
09/16/2024,19412.79,19446.06,19294.18,19423.06,0
09/13/2024,19396.10,19556.80,19384.69,19514.58,0
09/12/2024,19236.42,19456.41,19166.80,19423.07,0
09/11/2024,18866.00,19266.39,18531.58,19237.30,0
09/10/2024,18722.15,18845.74,18570.67,18829.14,0
09/09/2024,18579.80,18693.86,18469.40,18660.78,0
09/06/2024,18903.03,18930.77,18400.97,18421.31,0
09/05/2024,18864.42,19102.35,18806.83,18930.33,0
09/04/2024,18832.64,19070.82,18808.76,18921.40,0
09/03/2024,19438.10,19438.10,18869.80,18958.73,0
08/30/2024,19506.27,19582.17,19326.61,19574.64,0
08/29/2024,19425.28,19622.73,19281.65,19325.45,0
08/28/2024,19567.45,19587.04,19221.48,19350.78,0
08/27/2024,19450.57,19617.92,19369.53,19581.52,0
08/26/2024,19679.24,19726.90,19437.34,19516.44,0
08/23/2024,19669.78,19818.40,19526.63,19720.87,0
08/22/2024,19911.28,19938.89,19459.86,19491.84,0
08/21/2024,19758.47,19885.34,19690.64,19824.84,0
08/20/2024,19736.35,19835.38,19652.18,19719.82,0
08/19/2024,19521.93,19767.43,19445.10,19766.49,0
08/16/2024,19393.73,19561.24,19376.72,19508.52,0
08/15/2024,19251.86,19502.92,19239.94,19490.15,0
08/14/2024,19043.76,19103.00,18837.10,19022.68,0
08/13/2024,18724.84,19013.01,18723.74,19006.43,0
08/12/2024,18548.23,18665.75,18433.61,18542.03,0
08/09/2024,18373.89,18567.63,18313.78,18513.10,0
08/08/2024,18102.05,18445.41,17965.07,18413.82,0
08/07/2024,18345.45,18445.75,17851.08,17867.37,0
08/06/2024,17961.45,18368.68,17858.82,18077.92,0
08/05/2024,17444.40,18169.49,17435.39,17895.15,0
08/02/2024,18494.24,18628.78,18263.50,18440.84,0
08/01/2024,19375.97,19538.97,18737.09,18890.39,0
07/31/2024,19222.85,19426.62,19162.91,19362.43,0
07/30/2024,19129.56,19165.42,18667.22,18796.27,0
07/29/2024,19122.43,19224.59,18974.51,19059.49,0
07/26/2024,18990.20,19142.68,18899.31,19023.66,0
07/25/2024,19041.15,19227.20,18721.71,18830.58,0
07/24/2024,19475.66,19482.55,19005.47,19032.39,0
07/23/2024,19783.33,19904.60,19736.22,19754.34,0
07/22/2024,19751.02,19861.72,19638.37,19822.87,0
07/19/2024,19687.80,19784.48,19479.38,19522.62,0
07/18/2024,19936.24,19947.98,19575.79,19705.09,0
07/17/2024,20041.31,20080.27,19793.75,19799.14,0
07/16/2024,20441.53,20477.00,20266.51,20398.62,0
07/15/2024,20401.02,20585.17,20304.53,20386.88,0
07/12/2024,20226.23,20526.08,20217.99,20331.49,0
07/11/2024,20661.41,20672.10,20165.00,20211.36,0
07/10/2024,20533.27,20690.97,20479.94,20675.38,0
07/09/2024,20504.17,20543.90,20395.57,20453.02,0
07/08/2024,20393.89,20455.38,20363.37,20439.54,0
07/05/2024,20224.13,20406.99,20201.50,20391.97,0
07/03/2024,19995.28,20186.63,19995.28,20186.63,0
07/02/2024,19746.22,20014.92,19741.81,20011.89,0
07/01/2024,19720.11,19827.75,19577.54,19812.22,0
06/28/2024,19817.00,20017.71,19665.85,19682.87,0
06/27/2024,19740.51,19850.81,19701.34,19789.03,0
06/26/2024,19671.07,19763.55,19654.18,19751.05,0
06/25/2024,19555.84,19712.42,19523.51,19701.13,0
06/24/2024,19648.23,19723.20,19472.53,19474.62,0
06/21/2024,19722.37,19801.97,19643.52,19700.43,0
06/20/2024,19962.97,19979.93,19685.03,19752.30,0
06/18/2024,19904.43,19940.50,19837.86,19908.86,0
06/17/2024,19681.86,19977.84,19623.71,19902.75,0
06/14/2024,19557.22,19664.59,19534.62,19659.80,0
06/13/2024,19609.05,19639.45,19473.71,19576.92,0
06/12/2024,19358.26,19556.90,19347.28,19465.18,0
06/11/2024,19031.40,19212.63,18966.56,19210.18,0
06/10/2024,18945.31,19089.83,18940.71,19074.67,0
06/07/2024,18992.58,19113.88,18958.68,19000.95,0
06/06/2024,19053.01,19071.79,18978.86,19021.19,0
06/05/2024,18791.28,19035.87,18768.25,19035.05,0
06/04/2024,18598.00,18697.95,18521.85,18654.84,0
06/03/2024,18666.72,18707.22,18392.57,18600.97,0
05/31/2024,18550.80,18574.56,18189.78,18536.65,0
05/30/2024,18683.25,18705.26,18487.76,18538.66,0
05/29/2024,18708.07,18814.82,18706.62,18736.75,0
05/28/2024,18855.15,18875.20,18755.94,18869.44,0
05/24/2024,18669.36,18851.99,18664.79,18808.35,0
