date,open,high,low,close,volume
02/10/2025,130.09,135.00,129.96,133.57,216989100
02/07/2025,129.22,130.37,125.00,129.84,228186300
02/06/2025,127.42,128.77,125.21,128.68,251483600
02/05/2025,121.76,125.00,120.76,124.83,263110600
02/04/2025,116.96,121.20,116.70,118.65,256550000
02/03/2025,114.75,118.57,113.01,116.66,371235700
01/31/2025,123.78,127.85,119.19,120.07,390372900
01/30/2025,123.10,125.00,118.10,124.65,392925500
01/29/2025,126.50,126.89,120.05,123.70,467120600
01/28/2025,121.81,129.00,116.25,128.99,579666400
01/27/2025,124.80,128.40,116.70,118.42,818830900
01/24/2025,148.37,148.97,141.88,142.62,234657600
01/23/2025,145.05,147.23,143.72,147.22,155915500
01/22/2025,144.66,147.79,143.67,147.07,237651400
01/21/2025,139.16,141.83,137.09,140.83,197749000
01/17/2025,136.69,138.50,135.4649,137.71,201188800
01/16/2025,138.64,138.75,133.49,133.57,209235600
01/15/2025,133.65,136.45,131.29,136.24,185217300
01/14/2025,136.05,136.38,130.05,131.76,195590500
01/13/2025,129.99,133.49,129.51,133.23,204808900
01/10/2025,137.45,139.92,134.22,135.91,207602500
01/08/2025,142.58,143.95,137.56,140.11,227349900
01/07/2025,153.03,153.13,140.01,140.14,351782200
01/06/2025,148.59,152.156,147.8201,149.43,265377400
01/03/2025,140.01,144.90,139.73,144.47,229322500
01/02/2025,136.00,138.88,134.63,138.31,198247200
12/31/2024,138.03,138.07,133.83,134.29,155659200
12/30/2024,134.83,140.27,134.02,137.49,167734700
12/27/2024,138.55,139.02,134.71,137.01,170582600
12/26/2024,139.70,140.85,137.73,139.93,116519100
12/24/2024,140.00,141.90,138.65,140.22,105157000
12/23/2024,136.28,139.79,135.1201,139.67,176053500
12/20/2024,129.81,135.28,128.22,134.70,306528600
12/19/2024,131.76,134.03,129.55,130.68,209719200
12/18/2024,133.86,136.70,128.28,128.91,277444500
12/17/2024,129.09,131.59,126.86,130.39,259410300
12/16/2024,134.18,134.40,130.42,132.00,237951100
12/13/2024,138.94,139.60,132.54,134.25,231514900
12/12/2024,137.08,138.44,135.80,137.34,159211400
12/11/2024,137.36,140.17,135.21,139.31,184905200
12/10/2024,139.01,141.82,133.79,135.07,210020900
12/09/2024,138.97,139.95,137.13,138.81,189308600
12/06/2024,144.60,145.70,141.31,142.44,188505600
12/05/2024,145.11,146.54,143.95,145.06,172621200
12/04/2024,141.995,145.79,140.29,145.14,231224300
12/03/2024,138.26,140.54,137.95,140.26,164414000
12/02/2024,138.83,140.45,137.825,138.63,171682800
11/29/2024,136.78,139.35,136.05,138.25,141863200
11/27/2024,135.01,137.22,131.80,135.34,226370900
11/26/2024,137.70,139.30,135.67,136.92,190287700
11/25/2024,141.99,142.05,135.82,136.02,344941900
11/22/2024,145.93,147.16,141.10,141.95,236406200
11/21/2024,149.35,152.89,140.70,146.67,400946600
11/20/2024,147.41,147.56,142.73,145.89,309871700
11/19/2024,141.32,147.13,140.99,147.01,227834900
11/18/2024,139.50,141.55,137.15,140.15,221866000
11/15/2024,144.87,145.24,140.08,141.98,250132900
11/14/2024,147.64,149.00,145.55,146.76,194463300
11/13/2024,149.07,149.33,145.90,146.27,191903300
11/12/2024,146.78,149.65,146.01,148.29,198634700
11/11/2024,148.68,148.85,143.57,145.26,182325600
11/08/2024,148.77,149.77,146.26,147.63,175665800
11/07/2024,146.39,148.93,146.17,148.88,207323300
11/06/2024,142.96,146.49,141.96,145.61,242043900
11/05/2024,137.45,140.3701,137.33,139.91,160537400
11/04/2024,137.21,138.96,135.57,136.05,187528200
11/01/2024,134.70,137.31,134.57,135.40,207127800
10/31/2024,137.60,137.61,132.1106,132.76,270039600
10/30/2024,139.54,140.33,136.81,139.335,179418100
10/29/2024,140.285,142.2598,138.90,141.25,157593600
10/28/2024,143.00,143.14,140.05,140.52,173586700
10/25/2024,140.93,144.13,140.80,141.54,205122100
10/24/2024,140.82,141.35,138.46,140.41,172354900
10/23/2024,142.03,142.43,137.46,139.56,285930000
10/22/2024,142.91,144.42,141.78,143.59,226311600
10/21/2024,138.13,143.71,138.00,143.71,264554500
10/18/2024,138.665,138.90,137.28,138.00,176090200
10/17/2024,139.34,140.89,136.87,136.93,306435900
10/16/2024,133.98,136.62,131.58,135.72,264879700
10/15/2024,137.87,138.57,128.74,131.60,377831000
10/14/2024,136.47,139.60,136.30,138.07,232347700
10/11/2024,134.01,135.78,133.66,134.80,170209500
10/10/2024,131.91,135.00,131.00,134.81,242311300
10/09/2024,134.11,134.52,131.38,132.65,246191600
10/08/2024,130.26,133.48,129.42,132.89,285722500
10/07/2024,124.99,130.64,124.95,127.72,346250200
10/04/2024,124.94,125.04,121.83,124.92,244465600
10/03/2024,120.92,124.36,120.3401,122.85,277118000
10/02/2024,116.44,119.38,115.14,118.85,221845900
10/01/2024,121.765,122.4351,115.79,117.00,302094500
09/30/2024,118.31,121.50,118.15,121.44,227053700
09/27/2024,123.97,124.03,119.26,121.40,271009200
09/26/2024,126.80,127.665,121.80,124.04,302582900
09/25/2024,122.02,124.94,121.61,123.51,284692900
09/24/2024,116.515,121.80,115.38,120.87,354966800
09/23/2024,116.55,116.99,114.86,116.26,206228500
09/20/2024,117.06,118.6181,115.3901,116.00,382462400
09/19/2024,117.35,119.66,117.25,117.87,293506400
09/18/2024,115.89,117.70,113.22,113.37,310318900
09/17/2024,118.17,118.80,114.83,115.59,231925900
09/16/2024,116.79,118.18,114.36,116.78,248772300
09/13/2024,119.08,119.955,117.60,119.10,238358300
09/12/2024,116.84,120.79,115.38,119.14,367100500
09/11/2024,109.39,117.19,107.42,116.91,441422400
09/10/2024,107.81,109.40,104.95,108.10,268283700
09/09/2024,104.88,106.55,103.69,106.47,273912000
09/06/2024,108.04,108.15,100.95,102.83,413638100
09/05/2024,104.985,109.65,104.76,107.21,306850700
09/04/2024,105.41,113.27,104.12,106.21,372470300
09/03/2024,116.01,116.21,107.29,108.00,477155100
08/30/2024,119.53,121.75,117.22,119.37,333751600
08/29/2024,121.355,124.43,116.71,117.59,453023300
08/28/2024,128.12,128.33,122.64,125.61,448101100
08/27/2024,125.05,129.20,123.88,128.30,303134600
08/26/2024,129.57,131.26,124.37,126.46,331964700
08/23/2024,125.86,129.60,125.22,129.37,323230300
08/22/2024,130.02,130.75,123.10,123.74,376189100
08/21/2024,127.315,129.35,126.66,128.50,257883600
08/20/2024,128.40,129.88,125.89,127.25,300087400
08/19/2024,124.28,130.00,123.42,130.00,318333600
