date,open,high,low,close,volume
02/11/2025,2278.16,2282.21,2270.89,2275.70,0
02/10/2025,2289.38,2294.71,2281.65,2287.94,0
02/07/2025,2308.19,2311.51,2277.63,2279.71,0
02/06/2025,2323.30,2326.95,2295.68,2307.12,0
02/05/2025,2297.74,2316.23,2293.38,2316.23,0
02/04/2025,2257.19,2291.38,2257.11,2290.20,0
02/03/2025,2244.82,2271.21,2229.51,2258.42,0
01/31/2025,2307.70,2322.29,2278.78,2287.69,0
01/30/2025,2299.82,2320.53,2293.71,2307.45,0
01/29/2025,2286.57,2300.87,2269.11,2283.10,0
01/28/2025,2287.11,2294.67,2275.08,2288.86,0
01/27/2025,2290.15,2311.79,2273.67,2284.02,0
01/24/2025,2312.38,2322.27,2303.15,2307.74,0
01/23/2025,2296.11,2314.72,2289.27,2314.60,0
01/22/2025,2316.14,2318.63,2301.90,2303.72,0
01/21/2025,2286.40,2318.81,2286.40,2317.97,0
01/17/2025,2281.66,2289.97,2269.22,2275.88,0
01/16/2025,2261.97,2273.04,2252.89,2266.79,0
01/15/2025,2256.56,2278.17,2252.74,2263.29,0
01/14/2025,2206.16,2221.33,2194.85,2219.24,0
01/13/2025,2176.49,2194.69,2158.63,2194.40,0
01/10/2025,2215.23,2215.23,2176.03,2189.23,0
01/08/2025,2236.12,2241.89,2211.71,2238.96,0
01/07/2025,2271.31,2286.18,2236.55,2249.80,0
01/06/2025,2275.71,2292.30,2264.42,2266.65,0
01/03/2025,2237.73,2269.05,2237.73,2268.47,0
01/02/2025,2241.82,2261.75,2219.92,2231.67,0
12/31/2024,2237.93,2250.40,2224.53,2230.16,0
12/30/2024,2230.83,2237.92,2202.67,2227.78,0
12/27/2024,2268.97,2273.80,2227.17,2244.59,0
12/26/2024,2248.80,2281.83,2243.80,2280.19,0
12/24/2024,2240.25,2259.85,2233.31,2259.85,0
12/23/2024,2239.09,2241.91,2219.42,2237.44,0
12/20/2024,2201.71,2264.48,2194.90,2242.37,0
12/19/2024,2251.09,2265.35,2217.15,2221.50,0
12/18/2024,2342.28,2349.98,2215.74,2231.51,0
12/17/2024,2350.79,2354.56,2329.26,2334.08,0
12/16/2024,2344.87,2370.43,2339.74,2361.99,0
12/13/2024,2357.80,2361.84,2336.28,2346.90,0
12/12/2024,2387.38,2391.86,2360.59,2361.08,0
12/11/2024,2399.05,2407.74,2386.37,2394.16,0
12/10/2024,2392.43,2402.66,2378.61,2382.77,0
12/09/2024,2418.83,2428.16,2392.70,2392.84,0
12/06/2024,2408.09,2414.18,2401.77,2408.99,0
12/05/2024,2425.04,2425.81,2395.16,2396.17,0
12/04/2024,2419.10,2430.03,2412.74,2426.56,0
12/03/2024,2433.91,2435.31,2412.85,2416.35,0
12/02/2024,2437.21,2442.61,2420.71,2434.14,0
11/29/2024,2433.00,2445.64,2433.00,2434.73,0
11/27/2024,2430.13,2449.86,2424.51,2426.19,0
11/26/2024,2439.02,2439.02,2415.92,2424.31,0
11/25/2024,2419.08,2466.49,2419.08,2442.03,0
11/22/2024,2366.44,2409.22,2366.44,2406.67,0
11/21/2024,2331.46,2372.25,2331.46,2364.02,0
11/20/2024,2323.31,2325.88,2303.79,2325.53,0
11/19/2024,2295.78,2325.06,2284.20,2324.83,0
11/18/2024,2306.52,2322.07,2301.87,2306.34,0
11/15/2024,2339.96,2346.45,2297.52,2303.84,0
11/14/2024,2374.14,2379.59,2333.27,2336.94,0
11/13/2024,2401.85,2414.55,2368.47,2369.37,0
11/12/2024,2428.14,2432.40,2387.81,2391.85,0
11/11/2024,2411.70,2441.72,2411.70,2434.98,0
11/08/2024,2384.08,2401.91,2376.42,2399.64,0
11/07/2024,2391.26,2402.36,2378.17,2382.69,0
11/06/2024,2300.98,2393.85,2300.98,2392.92,0
11/05/2024,2216.62,2260.92,2212.27,2260.84,0
11/04/2024,2206.56,2233.19,2200.30,2219.03,0
11/01/2024,2202.18,2227.35,2202.18,2210.13,0
10/31/2024,2231.37,2232.16,2196.65,2196.65,0
10/30/2024,2232.66,2260.48,2229.79,2233.04,0
10/29/2024,2236.51,2238.09,2221.75,2238.09,0
10/28/2024,2217.67,2247.38,2217.67,2244.07,0
10/25/2024,2225.77,2236.69,2207.24,2207.99,0
10/24/2024,2216.99,2227.00,2206.35,2218.92,0
10/23/2024,2224.65,2226.41,2195.47,2213.84,0
10/22/2024,2235.77,2235.77,2225.06,2231.53,0
10/21/2024,2275.33,2275.60,2238.30,2239.71,0
10/18/2024,2283.76,2287.15,2275.49,2276.09,0
10/17/2024,2287.41,2288.64,2272.01,2280.85,0
10/16/2024,2260.14,2289.49,2260.14,2286.68,0
10/15/2024,2246.52,2272.16,2243.71,2249.82,0
10/14/2024,2233.70,2250.23,2228.25,2248.64,0
10/11/2024,2188.63,2234.96,2188.63,2234.41,0
10/10/2024,2186.56,2188.42,2170.61,2188.42,0
10/09/2024,2194.24,2213.14,2190.46,2200.59,0
10/08/2024,2194.05,2201.91,2188.24,2194.98,0
10/07/2024,2206.09,2206.09,2181.24,2193.09,0
10/04/2024,2211.14,2214.86,2196.12,2212.80,0
