date,open,high,low,close,volume
02/10/2025,604.03,605.4999,602.74,604.85,26048710
02/07/2025,606.89,608.13,600.05,600.77,50788520
02/06/2025,605.99,606.4525,602.63,606.32,35771500
02/05/2025,600.64,604.37,598.58,604.22,30653150
02/04/2025,597.83,602.30,597.28,601.78,33457820
02/03/2025,592.67,600.29,590.49,597.77,65857250
01/31/2025,607.50,609.96,601.05,601.82,66671470
01/30/2025,603.96,606.60,600.715,605.04,39281260
01/29/2025,603.72,604.13,599.22,601.81,37177430
01/28/2025,600.62,605.37,597.25,604.52,44433320
01/27/2025,594.81,599.69,594.64,599.37,70361130
01/24/2025,609.81,610.78,606.80,607.97,34604690
01/23/2025,605.80,609.75,605.52,609.75,41152100
01/22/2025,605.92,607.82,605.36,606.44,48195970
01/21/2025,600.67,603.06,598.67,603.05,42532850
01/17/2025,596.96,599.36,595.61,597.58,58070630
01/16/2025,594.175,594.35,590.93,591.64,43319660
01/15/2025,590.325,593.94,589.195,592.78,56900160
01/14/2025,584.36,585.00,578.35,582.19,48420580
01/13/2025,575.77,581.75,575.35,581.39,47910060
01/10/2025,585.88,585.95,578.55,580.49,73105050
01/08/2025,588.70,590.5799,585.195,589.49,47304670
01/07/2025,597.42,597.75,586.78,588.63,60393050
01/06/2025,596.27,599.70,593.60,595.36,47679440
01/03/2025,587.53,592.60,586.43,591.95,37888460
01/02/2025,589.39,591.13,580.50,584.64,50203980
12/31/2024,589.905,590.6399,584.42,586.08,57052650
12/30/2024,587.89,591.74,584.41,588.22,56578760
12/27/2024,597.54,597.7761,590.7647,595.01,64969310
12/26/2024,599.50,602.48,598.0825,601.34,41338890
12/24/2024,596.06,601.34,595.47,601.30,33160100
12/23/2024,590.89,595.30,587.661,594.69,57635830
12/20/2024,581.77,595.75,580.91,591.15,125716700
12/19/2024,591.36,593.00,585.85,586.10,85919450
12/18/2024,603.98,606.405,585.89,586.28,108248700
12/17/2024,604.19,605.17,602.885,604.29,55773550
12/16/2024,606.00,607.7795,605.21,606.79,43695180
12/13/2024,606.40,607.13,602.81,604.21,35904730
12/12/2024,606.58,607.16,604.33,604.33,31543810
12/11/2024,605.78,608.435,605.50,607.46,28677720
12/10/2024,605.37,605.80,602.13,602.80,37234520
12/09/2024,607.69,607.86,604.08,604.68,34742740
12/06/2024,607.44,609.07,607.02,607.81,31241550
12/05/2024,607.66,608.48,606.305,606.66,28762180
12/04/2024,605.63,607.91,604.95,607.66,42787560
12/03/2024,603.39,604.16,602.341,603.91,26906630
12/02/2024,602.97,604.32,602.47,603.63,31745990
11/29/2024,599.66,603.35,599.3805,602.55,30177350
11/27/2024,600.46,600.85,597.28,598.83,34000160
11/26/2024,598.80,601.33,598.07,600.65,45621290
11/25/2024,599.52,600.86,595.20,597.53,42441390
11/22/2024,593.66,596.15,593.1525,595.51,38226390
11/21/2024,593.40,595.12,587.45,593.67,46750290
11/20/2024,590.38,590.79,584.63,590.50,50032580
11/19/2024,584.71,591.045,584.03,590.30,49412050
11/18/2024,586.22,589.49,585.34,588.15,37084080
11/15/2024,589.72,590.20,583.86,585.75,75988770
