date,open,high,low,close,volume
02/10/2025,356.21,362.70,350.51,350.73,77514900
02/07/2025,370.19,380.5459,360.34,361.62,70298260
02/06/2025,373.03,375.40,363.18,374.32,77918230
02/05/2025,387.51,388.39,375.53,378.17,57614720
02/04/2025,382.63,394.00,381.40,392.21,57072240
02/03/2025,386.68,389.17,374.36,383.68,93732120
01/31/2025,401.53,419.99,401.34,404.60,83568220
01/30/2025,410.78,412.50,384.41,400.28,98092880
01/29/2025,395.21,398.5899,384.48,389.10,68033650
01/28/2025,396.91,400.59,386.50,398.09,48910680
01/27/2025,394.80,406.69,389.00,397.15,58125510
01/24/2025,414.45,418.88,405.78,406.58,56427150
01/23/2025,416.06,420.73,408.95,412.38,50690590
01/22/2025,416.81,428.00,414.59,415.11,60963340
01/21/2025,432.64,433.20,406.31,424.07,87320890
01/17/2025,421.50,439.74,419.75,426.50,94991430
01/16/2025,423.49,424.00,409.13,413.82,68335150
01/15/2025,409.90,429.80,405.661,428.22,81375460
01/14/2025,414.34,422.64,394.54,396.36,84565020
01/13/2025,383.21,403.79,380.07,403.31,67580490
01/10/2025,391.40,399.28,377.29,394.74,62287330
01/08/2025,392.95,402.4999,387.40,394.94,73038810
01/07/2025,405.83,414.33,390.00,394.36,75699530
01/06/2025,423.20,426.43,401.70,411.05,85516530
01/03/2025,381.48,411.8799,379.45,410.44,95423330
01/02/2025,390.10,392.7299,373.04,379.28,109710700
12/31/2024,423.79,427.93,402.54,403.84,76825120
12/30/2024,419.40,427.00,415.75,417.41,64941010
12/27/2024,449.52,450.00,426.50,431.66,82666820
12/26/2024,465.16,465.3299,451.02,454.13,76651210
12/24/2024,435.90,462.78,435.14,462.28,59551750
12/23/2024,431.00,434.51,415.4112,430.60,72698060
12/20/2024,425.505,447.08,417.64,421.06,132216200
12/19/2024,451.88,456.36,420.02,436.17,118566100
12/18/2024,466.495,488.5399,427.01,440.13,149340800
12/17/2024,475.90,483.99,457.5101,479.86,131223000
12/16/2024,441.09,463.19,436.15,463.02,114083800
12/13/2024,420.00,436.30,415.71,436.23,89000160
12/12/2024,424.84,429.30,415.00,418.10,87752230
12/11/2024,409.70,424.88,402.38,424.77,104287600
12/10/2024,392.68,409.73,390.85,400.99,97563580
12/09/2024,397.61,404.80,378.01,389.79,96359170
12/06/2024,377.42,389.49,370.80,389.22,81455830
12/05/2024,359.87,375.43,359.50,369.49,81403570
12/04/2024,353.00,358.10,348.60,357.93,50810870
12/03/2024,351.80,355.69,348.20,351.42,58267200
12/02/2024,352.38,360.00,351.1501,357.09,77986480
11/29/2024,336.08,345.45,334.6501,345.16,37167620
11/27/2024,341.80,342.55,326.59,332.89,57896440
11/26/2024,341.00,346.96,335.66,338.23,62295860
11/25/2024,360.14,361.93,338.20,338.59,95890900
11/22/2024,341.085,361.53,337.70,352.56,89140720
11/21/2024,343.81,347.9899,335.28,339.64,58011720
11/20/2024,345.00,346.5999,334.30,342.03,66340650
11/19/2024,335.76,347.3799,332.75,346.00,88852450
11/18/2024,340.73,348.5499,330.01,338.74,126547500
11/15/2024,310.57,324.6799,309.22,320.72,114440300
11/14/2024,327.69,329.98,310.37,311.18,120726100
11/13/2024,335.85,344.5999,322.50,330.24,125405600
11/12/2024,342.74,345.84,323.31,328.49,155726000
11/11/2024,346.30,358.64,336.00,350.00,210521600
11/08/2024,299.14,328.71,297.66,321.22,204782800
11/07/2024,288.89,299.75,285.52,296.91,117309200
11/06/2024,284.67,289.59,275.62,288.53,165228700
11/05/2024,247.34,255.2799,246.2101,251.44,69282510
11/04/2024,244.56,248.90,238.88,242.84,68802350
11/01/2024,252.043,254.00,246.63,248.98,57544760
10/31/2024,257.99,259.75,249.25,249.85,66575290
10/30/2024,258.035,263.35,255.8201,257.55,53993580
10/29/2024,264.51,264.98,255.51,259.52,80521750
10/28/2024,270.00,273.536,262.24,262.51,107653600
10/25/2024,256.01,269.49,255.32,269.19,161611900
10/24/2024,244.68,262.1199,242.65,260.48,204491900
10/23/2024,217.125,218.72,212.11,213.65,80938890
10/22/2024,217.31,218.22,215.26,217.97,43268740
10/21/2024,218.90,220.48,215.726,218.85,47328990
10/18/2024,220.71,222.28,219.23,220.70,49611870
10/17/2024,221.59,222.08,217.90,220.89,50791780
10/16/2024,221.40,222.8199,218.93,221.33,49632820
10/15/2024,220.01,224.26,217.12,219.57,62988790
10/14/2024,220.13,221.91,213.74,219.16,86291920
10/11/2024,220.13,223.34,214.38,217.80,142628900
10/10/2024,241.81,242.7899,232.34,238.77,83087060
10/09/2024,243.82,247.43,239.51,241.05,66289530
10/08/2024,243.56,246.21,240.56,244.50,56303160
10/07/2024,249.00,249.83,240.70,240.83,68113270
10/04/2024,246.69,250.96,244.58,250.08,86726290
10/03/2024,244.48,249.79,237.81,240.66,80729240
10/02/2024,247.55,251.1585,241.50,249.02,93983930
10/01/2024,262.67,263.98,248.53,258.02,87397610
09/30/2024,259.04,264.86,255.77,261.63,80873380
09/27/2024,257.375,260.6999,254.12,260.46,70988070
09/26/2024,260.60,261.75,251.53,254.22,67142190
09/25/2024,252.54,257.05,252.28,257.02,65034320
09/24/2024,254.08,257.19,249.0501,254.27,88491000
09/23/2024,242.61,250.00,241.92,250.00,86927190
09/20/2024,241.52,243.99,235.92,238.25,99879070
09/19/2024,234.00,244.24,232.13,243.92,102694600
09/18/2024,230.09,235.68,226.88,227.20,78010200
09/17/2024,229.45,234.57,226.5533,227.87,66761640
09/16/2024,229.30,229.96,223.53,226.78,54323000
09/13/2024,228.00,232.67,226.32,230.29,59515110
09/12/2024,224.66,231.45,223.83,229.81,72020040
09/11/2024,224.55,228.47,216.8003,228.13,83548630
09/10/2024,220.07,226.40,218.6377,226.17,78891140
09/09/2024,216.20,219.87,213.67,216.27,67443520
09/06/2024,232.60,233.60,210.51,210.73,112177000
09/05/2024,223.49,235.00,222.25,230.17,119355000
09/04/2024,210.59,222.22,210.57,219.41,80651770
09/03/2024,215.26,219.9043,209.64,210.60,76714220
08/30/2024,208.63,214.5701,207.03,214.11,63370610
08/29/2024,209.80,214.89,205.97,206.28,62308820
08/28/2024,209.72,211.84,202.59,205.75,64116350
08/27/2024,213.25,215.66,206.94,209.21,62821390
08/26/2024,218.75,219.09,211.01,213.21,59301190
08/23/2024,214.455,221.48,214.21,220.32,81525210
08/22/2024,223.82,224.80,210.32,210.66,79514480
08/21/2024,222.67,224.6594,218.86,223.27,70145960
08/20/2024,224.88,228.22,219.56,221.10,74001180
08/19/2024,217.07,222.98,214.09,222.72,76435220
08/16/2024,211.15,219.80,210.80,216.12,88765120
08/15/2024,205.02,215.88,204.82,214.14,89848530
08/14/2024,207.39,208.44,198.75,201.38,70250010
08/13/2024,198.47,208.49,197.06,207.83,76247390
08/12/2024,199.02,199.26,194.67,197.49,64044900
08/09/2024,197.05,200.88,195.11,200.00,58648270
08/08/2024,195.70,200.70,192.04,198.84,65033870
08/07/2024,200.77,203.49,191.48,191.76,71159780
08/06/2024,200.75,202.90,192.67,200.64,73783940
08/05/2024,185.22,203.8799,182.00,198.88,100308800
08/02/2024,214.88,216.13,205.78,207.67,82880120
08/01/2024,227.69,231.867,214.3328,216.86,83861900
07/31/2024,227.90,234.68,226.7875,232.07,67497010
07/30/2024,232.25,232.41,220.00,222.62,100560300
07/29/2024,224.90,234.27,224.70,232.10,129201800
07/26/2024,221.19,222.2799,215.33,219.80,94604150
07/25/2024,216.80,226.00,216.231,220.25,100636500
07/24/2024,225.42,225.99,214.71,215.99,167942900
07/23/2024,253.60,255.7594,245.63,246.38,111928200
07/22/2024,244.21,253.21,243.75,251.51,101225400
07/19/2024,247.79,249.44,236.83,239.20,87403900
07/18/2024,251.09,257.14,247.20,249.23,110869000
07/17/2024,252.73,258.47,246.182,248.50,115584800
07/16/2024,255.31,258.62,245.8001,256.56,126332500
07/15/2024,255.97,265.60,251.73,252.64,146912900
07/12/2024,235.80,251.84,233.0912,248.23,155955800
07/11/2024,263.30,271.00,239.65,241.03,221707300
07/10/2024,262.80,267.59,257.86,263.26,128519400
07/09/2024,251.00,265.61,250.30,262.33,160742500
07/08/2024,247.71,259.439,244.57,252.94,157219600
07/05/2024,249.81,252.37,242.4601,251.52,154501200
07/03/2024,234.56,248.35,234.25,246.39,166561500
07/02/2024,218.89,231.30,218.06,231.26,205047900
07/01/2024,201.02,213.23,200.85,209.86,135691400
06/28/2024,199.55,203.20,195.26,197.88,95438070
06/27/2024,195.17,198.72,194.05,197.42,72746520
06/26/2024,186.54,197.755,186.36,196.37,95737070
06/25/2024,184.40,187.97,182.01,187.35,63678270
06/24/2024,184.97,188.80,182.55,182.58,61992070
06/21/2024,182.30,183.95,180.69,183.01,63029480
06/20/2024,184.68,185.21,179.66,181.57,55893140
06/18/2024,186.56,187.20,182.37,184.86,68982270
06/17/2024,177.92,188.81,177.00,187.44,109786100
06/14/2024,185.80,186.00,176.92,178.01,82038190
06/13/2024,188.39,191.08,181.23,182.47,118984100
06/12/2024,171.12,180.55,169.80,177.29,90389450
06/11/2024,173.92,174.75,167.41,170.66,64761930
06/10/2024,176.06,178.57,173.17,173.79,50869680
06/07/2024,176.13,179.35,175.58,177.48,56244930
06/06/2024,174.60,179.73,172.73,177.94,69887020
06/05/2024,175.35,176.15,172.13,175.00,57953760
06/04/2024,174.775,177.755,174.00,174.77,60056340
06/03/2024,178.13,182.6389,174.49,176.29,68568920
05/31/2024,178.50,180.32,173.82,178.08,67314600
05/30/2024,178.575,182.67,175.38,178.79,77784760
05/29/2024,174.19,178.15,173.93,176.19,54782650
05/28/2024,176.40,178.25,173.16,176.75,59736620
05/24/2024,174.835,180.08,173.73,179.24,65584480
05/23/2024,181.80,181.90,173.26,173.74,71975500
05/22/2024,182.85,183.80,178.12,180.11,88313480
05/21/2024,175.51,186.875,174.71,186.60,115266500
05/20/2024,177.56,177.754,173.52,174.95,61727430
05/17/2024,173.55,179.63,172.75,177.46,77445850
05/16/2024,174.10,175.79,171.43,174.84,59812220
05/15/2024,179.90,180.00,173.11,173.99,79662990
05/14/2024,174.496,179.49,174.07,177.55,86407420
05/13/2024,170.00,175.40,169.00,171.89,67018900
05/10/2024,173.05,173.0599,167.75,168.47,72627180
05/09/2024,175.01,175.62,171.37,171.97,65950290
05/08/2024,171.59,176.06,170.15,174.72,79969490
05/07/2024,182.40,183.26,177.40,177.81,75045850
05/06/2024,183.80,187.56,182.20,184.76,84390250
05/03/2024,182.10,184.78,178.42,181.19,75491540
05/02/2024,182.86,184.60,176.02,180.01,89148040
05/01/2024,182.00,185.86,179.01,179.99,92829720
04/30/2024,186.98,190.95,182.8401,183.28,127031800
04/29/2024,188.42,198.87,184.54,194.05,243869700
04/26/2024,168.85,172.12,166.37,168.29,109815700
04/25/2024,158.96,170.88,158.36,170.18,126427500
04/24/2024,162.84,167.97,157.51,162.13,181178000
04/23/2024,143.33,147.26,141.11,144.68,124545100
04/22/2024,140.56,144.44,138.8025,142.05,107097600
04/19/2024,148.97,150.94,146.22,147.05,87074500
04/18/2024,151.25,152.20,148.70,149.93,96098830
04/17/2024,157.64,158.33,153.78,155.45,82439720
04/16/2024,156.742,158.19,153.75,157.11,96999960
04/15/2024,170.24,170.69,161.38,161.48,100245300
04/12/2024,172.34,173.8099,170.3644,171.05,64722670
04/11/2024,172.55,175.88,168.51,174.60,94515990
04/10/2024,173.04,174.93,170.01,171.76,84532410
04/09/2024,172.91,179.22,171.92,176.88,103232700
04/08/2024,169.34,174.50,167.79,172.98,104423300
04/05/2024,169.08,170.86,160.51,164.90,143157600
04/04/2024,170.07,177.19,168.01,171.11,123162000
04/03/2024,164.02,168.82,163.28,168.38,82950140
04/02/2024,164.75,167.69,163.43,166.63,116650600
04/01/2024,176.17,176.75,170.21,175.22,81562130
03/28/2024,177.45,179.57,175.30,175.79,77654840
03/27/2024,181.41,181.91,176.00,179.83,81804040
03/26/2024,178.58,184.25,177.38,177.67,113186200
03/25/2024,168.76,175.24,168.73,172.63,74228620
03/22/2024,166.69,171.20,166.30,170.83,75580640
03/21/2024,176.39,178.18,171.80,172.82,73178010
03/20/2024,173.00,176.25,170.82,175.66,83846730
03/19/2024,172.36,172.82,167.42,171.32,77271430
03/18/2024,170.02,174.72,165.90,173.80,108214400
03/15/2024,163.16,165.1845,160.76,163.57,97146830
03/14/2024,167.77,171.17,160.51,162.50,126325700
03/13/2024,173.05,176.05,169.15,169.48,106524500
03/12/2024,177.77,179.43,172.4101,177.54,87391680
03/11/2024,175.445,182.87,174.80,177.77,85391530
03/08/2024,181.50,182.73,174.70,175.34,85544640
03/07/2024,174.35,180.04,173.70,178.65,102129000
03/06/2024,179.99,181.576,173.70,176.54,107920900
03/05/2024,183.05,184.59,177.57,180.74,119660800
03/04/2024,198.73,199.75,186.72,188.14,134334900
03/01/2024,200.52,204.52,198.50,202.64,82243120
02/29/2024,204.18,205.28,198.4463,201.88,85906970
02/28/2024,200.42,205.30,198.44,202.04,99806170
02/27/2024,204.04,205.60,198.26,199.73,108645400
02/26/2024,192.29,201.78,192.00,199.40,111747100
02/23/2024,195.31,197.57,191.50,191.97,78841920
02/22/2024,194.00,198.32,191.36,197.41,92739460
02/21/2024,193.36,199.44,191.95,194.77,103844000
02/20/2024,196.13,198.60,189.13,193.76,104545800
02/16/2024,202.06,203.17,197.40,199.95,111346700
02/15/2024,189.16,200.88,188.8595,200.45,120831800
02/14/2024,185.30,188.89,183.35,188.71,81202990
02/13/2024,183.99,187.26,182.1087,184.02,86759480
02/12/2024,192.11,194.73,187.28,188.13,95498600
