date,open,high,low,close,volume
02/11/2025,102.66,103.50,102.59,103.37,2564607
02/10/2025,103.62,103.63,102.80,103.20,3042190
02/07/2025,103.50,103.84,102.60,102.74,3142854
02/06/2025,102.61,103.01,102.26,102.96,2892008
02/05/2025,102.27,102.54,101.555,102.52,6058907
02/04/2025,103.07,103.681,102.77,103.52,5543642
02/03/2025,101.12,103.065,101.11,102.60,7196669
01/31/2025,102.72,103.505,102.13,102.38,9102106
01/30/2025,102.39,103.13,101.26,101.97,5113075
01/29/2025,102.05,102.27,101.59,101.87,4797466
01/28/2025,101.01,101.7873,100.63,101.42,5445376
01/27/2025,98.98,101.24,98.79,100.93,9407480
01/24/2025,99.69,100.45,99.61,100.41,3386856
01/23/2025,98.63,99.51,98.445,99.51,3721261
01/22/2025,99.50,99.81,99.10,99.25,5382656
01/21/2025,98.07,98.715,97.97,98.27,4817389
01/17/2025,97.80,97.86,96.89,97.39,3109150
01/16/2025,96.94,97.22,96.515,96.55,2943855
01/15/2025,96.92,97.48,96.71,97.10,4115715
01/14/2025,95.94,96.07,94.99,95.53,4194732
01/13/2025,95.17,95.90,94.92,95.85,6992466
01/10/2025,96.74,96.93,95.16,95.81,4797594
01/08/2025,97.37,97.60,96.58,97.26,4631568
01/07/2025,98.89,99.29,97.46,97.84,5058425
01/06/2025,98.36,99.185,98.26,98.94,5325353
01/03/2025,97.83,98.25,97.20,97.88,5454728
01/02/2025,97.32,98.01,96.46,97.28,6900625
12/31/2024,97.24,97.61,96.59,96.81,3616309
12/30/2024,97.02,97.68,96.3311,97.13,3211108
12/27/2024,98.51,98.63,97.27,98.16,4100426
12/26/2024,98.77,99.185,98.51,99.04,3512436
12/24/2024,98.36,99.17,98.00,99.17,1626790
12/23/2024,97.93,98.33,97.14,98.24,3768852
12/20/2024,96.73,99.045,96.70,97.96,6285635
12/19/2024,98.86,99.02,97.39,97.43,5026110
12/18/2024,100.54,101.00,97.63,97.70,6406320
12/17/2024,101.18,101.67,100.485,100.57,4707971
12/16/2024,101.61,102.04,101.22,101.33,4222721
12/13/2024,101.62,101.88,100.875,100.94,3371526
12/12/2024,102.15,102.67,101.9803,102.16,2885470
12/11/2024,100.56,102.14,100.56,101.97,4015767
12/10/2024,99.77,100.6088,99.57,100.33,5125284
12/09/2024,100.84,100.98,98.72,98.78,5040350
12/06/2024,100.00,101.125,99.94,100.93,4364795
12/05/2024,100.51,100.58,99.915,100.01,2494116
12/04/2024,99.98,100.35,99.815,100.24,2550177
12/03/2024,99.29,100.06,99.16,100.01,3077350
12/02/2024,98.47,99.29,98.32,99.21,4975888
11/29/2024,97.84,98.5364,97.735,98.40,1960531
11/27/2024,97.95,98.155,97.555,97.87,2413665
11/26/2024,97.42,98.0399,97.42,97.74,2513423
11/25/2024,97.37,98.00,96.87,97.38,4387560
11/22/2024,96.74,97.23,96.49,96.88,3266126
11/21/2024,97.29,97.34,95.76,97.09,3833972
11/20/2024,96.88,97.355,96.11,97.34,3069624
11/19/2024,95.26,96.815,95.22,96.72,3186699
11/18/2024,95.38,96.2999,95.22,96.09,3880730
11/15/2024,96.60,96.79,94.835,95.15,3526386
11/14/2024,97.32,97.62,96.74,97.09,3170347
11/13/2024,97.17,97.60,96.60,97.20,2937114
11/12/2024,96.79,97.24,96.39,97.16,3260646
11/11/2024,96.20,96.7999,96.175,96.72,2625242
11/08/2024,96.63,96.63,95.88,96.18,3219803
11/07/2024,95.83,96.845,95.77,96.65,5268050
11/06/2024,94.49,95.50,94.35,95.40,5477388
11/05/2024,92.46,93.21,92.38,93.11,3090193
11/04/2024,92.66,92.69,91.63,92.09,3003745
11/01/2024,92.38,92.985,92.21,92.40,5714036
10/31/2024,92.89,93.42,92.01,92.04,4840027
10/30/2024,93.58,93.92,92.745,92.85,4872131
10/29/2024,91.43,92.40,91.215,92.29,3839579
10/28/2024,91.72,91.77,91.09,91.43,2079745
10/25/2024,91.15,91.805,90.76,90.85,2943683
10/24/2024,90.56,90.705,90.06,90.62,2044736
10/23/2024,90.79,91.12,89.975,90.31,3015461
10/22/2024,90.46,91.13,90.28,91.00,3423291
10/21/2024,91.19,91.26,90.36,90.87,2920760
