date,open,high,low,close,volume
02/11/2025,90.94,91.85,90.36,91.24,13113410
02/10/2025,89.35,90.66,89.35,90.51,12935680
02/07/2025,88.90,89.365,88.44,88.56,11284210
02/06/2025,90.64,90.86,88.09,88.57,20654810
02/05/2025,90.01,90.355,89.505,90.23,10886000
02/04/2025,87.78,90.23,87.63,90.04,20139910
02/03/2025,87.63,88.545,86.83,88.19,19908230
01/31/2025,89.91,90.11,87.43,87.64,22270020
01/30/2025,90.25,90.63,89.60,90.16,19546270
01/29/2025,89.28,90.155,89.15,89.70,10340880
01/28/2025,90.63,90.95,89.05,89.50,18700870
01/27/2025,91.00,91.16,89.73,90.36,15996700
01/24/2025,92.33,92.705,91.195,91.31,14578400
01/23/2025,92.48,92.8199,91.545,92.20,14679570
01/22/2025,93.19,93.30,91.72,91.78,17940130
01/21/2025,93.72,94.00,92.99,93.48,24651030
01/17/2025,93.24,94.29,92.91,93.96,11949830
01/16/2025,92.26,93.325,92.15,93.24,12615300
01/15/2025,91.78,92.805,91.40,92.57,17328950
01/14/2025,90.09,91.2999,89.955,91.22,15586500
01/13/2025,88.79,90.775,88.79,90.25,24448090
01/10/2025,89.17,90.20,87.92,88.39,17037900
01/08/2025,87.40,88.07,87.09,88.03,14241930
01/07/2025,87.71,88.61,87.18,87.94,12517890
01/06/2025,87.87,88.57,86.845,87.07,11417640
01/03/2025,87.17,87.7631,86.82,87.47,11062030
01/02/2025,86.36,87.295,86.075,86.66,17443540
12/31/2024,84.75,85.90,84.575,85.66,10582540
12/30/2024,84.57,85.03,83.85,84.55,11772650
12/27/2024,84.50,85.48,84.135,84.56,10184850
12/26/2024,84.67,84.715,84.05,84.57,7693227
12/24/2024,84.17,84.80,83.6191,84.64,7512092
12/23/2024,83.31,84.21,82.75,83.93,17222680
12/20/2024,83.31,84.43,83.0902,84.14,17852410
12/19/2024,84.94,85.21,83.26,83.32,24994230
12/18/2024,86.37,86.78,84.05,84.05,19620610
12/17/2024,86.60,86.77,85.80,86.61,16005840
12/16/2024,88.97,88.97,87.19,87.26,12518080
12/13/2024,89.89,89.92,88.97,89.22,11173030
12/12/2024,90.24,90.40,89.58,89.67,10873150
12/11/2024,90.44,90.74,89.96,90.40,11573750
12/10/2024,91.39,91.52,90.12,90.25,11649910
12/09/2024,91.78,92.265,90.79,90.87,11813900
12/06/2024,92.40,92.41,90.845,91.02,13103310
12/05/2024,92.57,93.20,92.2037,92.59,11331200
12/04/2024,94.47,94.47,91.68,92.23,16259030
12/03/2024,95.13,95.30,94.1007,94.51,8943277
12/02/2024,95.50,95.66,93.67,94.52,11094980
11/29/2024,95.33,95.69,95.16,95.53,6818187
11/27/2024,95.13,95.93,95.00,95.12,7798222
11/26/2024,95.48,95.68,94.78,95.22,12466370
11/25/2024,97.25,97.74,95.115,95.35,16475340
11/22/2024,96.99,97.92,96.90,97.27,10777830
11/21/2024,96.78,97.85,96.54,97.12,16770510
11/20/2024,95.73,96.41,95.43,96.34,8958788
11/19/2024,95.22,95.9501,94.925,95.38,11898210
11/18/2024,95.48,96.18,95.06,95.99,12617780
11/15/2024,94.78,95.69,94.39,94.73,14040250
11/14/2024,95.14,95.18,94.265,94.87,9005536
11/13/2024,94.06,94.895,92.93,94.51,11838120
11/12/2024,94.55,94.8475,93.6799,93.78,9250175
11/11/2024,93.77,94.595,93.33,94.28,10454740
11/08/2024,93.14,93.885,92.77,93.75,11168410
11/07/2024,93.50,93.50,92.42,93.13,13069000
11/06/2024,92.65,94.265,92.0499,93.56,25026630
11/05/2024,90.01,90.395,89.61,90.17,10438330
11/04/2024,88.63,89.71,88.51,89.57,12905940
11/01/2024,89.79,90.11,87.85,88.03,13152290
10/31/2024,88.60,89.26,88.355,88.59,15811610
10/30/2024,88.15,88.73,87.81,88.04,9682076
10/29/2024,89.00,89.07,87.65,87.84,11895780
10/28/2024,87.86,89.255,87.78,89.20,12113960
10/25/2024,90.28,90.52,89.51,89.77,9552256
10/24/2024,90.00,90.27,89.20,89.80,8523606
10/23/2024,90.03,90.375,89.29,89.81,9906637
10/22/2024,90.40,90.70,89.95,90.28,8978235
10/21/2024,90.94,91.23,89.91,90.07,10581040
10/18/2024,90.47,90.73,89.70,90.34,12007590
10/17/2024,90.20,90.94,90.10,90.64,10716650
10/16/2024,90.29,90.505,89.965,90.21,9938549
10/15/2024,90.30,90.90,89.73,89.78,18919580
10/14/2024,92.16,92.92,92.02,92.77,11099260
10/11/2024,92.21,93.14,92.03,92.81,13207250
10/10/2024,92.13,92.75,91.46,92.24,13023700
10/09/2024,90.39,91.86,90.21,91.62,15759790
10/08/2024,92.30,92.40,90.63,91.07,19879940
10/07/2024,93.51,94.21,93.20,93.51,16259710
10/04/2024,93.10,93.465,92.25,93.18,17977890
10/03/2024,91.04,92.44,90.35,92.32,22363030
10/02/2024,91.06,91.29,89.71,90.72,20962570
10/01/2024,87.01,90.16,86.90,89.80,33057050
09/30/2024,87.03,87.955,86.525,87.80,11404710
09/27/2024,85.91,87.315,85.86,87.19,15244760
09/26/2024,85.43,86.575,85.17,85.45,23448160
09/25/2024,88.67,88.94,86.98,87.16,13816780
09/24/2024,90.14,90.14,88.7748,88.90,17313650
09/23/2024,88.20,89.555,87.895,89.12,13315050
09/20/2024,88.59,88.97,87.775,88.76,13980800
09/19/2024,89.40,89.955,88.47,88.96,18903360
09/18/2024,87.61,88.99,87.49,87.91,14104790
09/17/2024,86.60,87.80,86.41,87.74,12517340
09/16/2024,86.31,87.11,85.92,86.57,13437720
09/13/2024,85.54,86.23,85.34,85.59,13097730
09/12/2024,84.68,85.435,84.05,85.11,15884610
09/11/2024,85.13,85.17,83.02,84.35,24062860
09/10/2024,86.76,86.87,84.41,85.14,24663410
09/09/2024,86.27,87.43,86.14,86.63,16412160
09/06/2024,87.29,87.82,85.66,86.01,17956010
09/05/2024,88.41,88.48,87.02,87.10,12495650
09/04/2024,89.10,89.67,87.605,87.78,15056990
09/03/2024,89.79,89.9269,88.445,89.01,19097080
08/30/2024,90.02,91.31,89.81,91.28,14042630
08/29/2024,90.30,91.28,89.45,90.94,11249530
08/28/2024,89.80,90.325,89.3737,89.77,8524501
08/27/2024,91.20,91.45,90.19,90.35,8313563
08/26/2024,91.39,91.995,90.53,91.20,9757380
08/23/2024,89.48,90.54,89.37,90.39,10367310
08/22/2024,88.89,89.46,88.71,89.06,9797718
08/21/2024,89.24,89.685,88.575,88.83,11368870
