date,open,high,low,close,volume
02/11/2025,51.33,51.64,51.02,51.54,45162870
02/10/2025,51.91,51.975,51.19,51.41,37921490
02/07/2025,52.17,52.26,51.78,51.82,40601440
02/06/2025,51.98,52.125,51.76,52.11,34355930
02/05/2025,51.36,51.69,51.135,51.68,34758570
02/04/2025,51.32,51.39,51.00,51.14,41742730
02/03/2025,50.75,51.395,50.4125,51.26,77416230
01/31/2025,51.83,51.97,51.435,51.47,40429470
01/30/2025,51.75,52.04,51.43,51.77,64250480
01/29/2025,51.18,51.74,51.17,51.28,43612190
01/28/2025,51.35,51.55,51.11,51.32,39885280
01/27/2025,50.76,51.44,50.62,51.41,61707420
01/24/2025,50.53,50.90,50.48,50.85,39088670
01/23/2025,50.49,50.79,50.48,50.70,32048850
01/22/2025,50.65,50.66,50.21,50.41,37226410
01/21/2025,50.40,50.71,50.385,50.65,33267470
01/17/2025,49.91,50.32,49.73,50.23,43693110
01/16/2025,49.46,49.845,49.455,49.81,33830430
01/15/2025,49.28,49.61,49.0099,49.48,61176910
01/14/2025,47.85,48.29,47.7449,48.25,39353250
01/13/2025,47.08,47.68,47.035,47.66,36002820
01/10/2025,48.10,48.14,47.15,47.32,53128710
01/08/2025,48.34,48.50,48.02,48.49,36422020
01/07/2025,48.65,48.76,48.115,48.33,57682700
01/06/2025,48.80,49.02,48.35,48.44,54289940
01/03/2025,48.49,48.62,48.075,48.59,25198140
01/02/2025,48.58,48.765,47.94,48.21,35879120
12/31/2024,48.40,48.57,48.16,48.33,25170530
12/30/2024,48.25,48.4955,47.86,48.28,34819780
12/27/2024,48.85,49.17,48.49,48.75,33852400
12/26/2024,48.77,49.13,48.74,49.11,20807210
12/24/2024,48.52,49.01,48.425,48.99,18350470
12/23/2024,48.06,48.455,47.87,48.42,43033310
12/20/2024,47.70,48.885,47.60,48.51,56066150
12/19/2024,48.17,48.53,47.79,47.80,63641040
12/18/2024,49.19,49.30,47.59,47.63,72399490
12/17/2024,49.26,49.27,48.9341,49.10,46103330
12/16/2024,49.57,49.63,49.355,49.45,35242760
12/13/2024,49.78,49.795,49.43,49.54,39160440
12/12/2024,49.93,49.97,49.58,49.58,23107260
12/11/2024,49.90,49.92,49.58,49.80,35035890
12/10/2024,49.75,49.98,49.385,49.70,38861790
12/09/2024,50.44,50.49,49.69,49.71,41998280
12/06/2024,50.40,50.57,50.2649,50.40,23439350
12/05/2024,50.34,50.67,50.30,50.41,33599280
12/04/2024,50.40,50.44,50.085,50.26,41017430
12/03/2024,51.13,51.13,50.45,50.45,46924280
12/02/2024,51.42,51.4893,50.70,50.83,55483580
11/29/2024,51.44,51.57,51.25,51.34,15178420
11/27/2024,51.23,51.62,51.205,51.26,31803720
11/26/2024,51.08,51.26,50.76,51.16,28418400
11/25/2024,51.01,51.245,50.86,51.06,47492550
11/22/2024,50.14,50.78,50.13,50.73,42050840
11/21/2024,49.79,50.3951,49.66,50.17,50881770
11/20/2024,49.89,49.92,49.295,49.54,33932480
