date,open,high,low,close,volume
02/11/2025,234.91,237.28,234.75,236.33,3228283
02/10/2025,234.66,236.81,234.59,236.22,3027083
02/07/2025,235.78,236.91,232.04,232.82,4276633
02/06/2025,234.19,235.31,233.15,234.83,3404037
02/05/2025,231.19,234.24,230.46,234.19,2699042
02/04/2025,228.48,231.34,228.40,230.98,4185642
02/03/2025,225.70,229.0899,224.495,227.70,6876435
01/31/2025,234.33,235.73,230.19,230.81,5372314
01/30/2025,231.33,232.97,229.74,232.17,4420135
01/29/2025,233.18,233.29,229.49,231.74,4525003
01/28/2025,229.11,234.16,226.69,233.64,5630339
01/27/2025,228.58,230.975,225.47,227.57,10352760
01/24/2025,242.58,242.58,238.525,239.30,3303802
01/23/2025,239.53,241.87,239.30,241.82,3802235
01/22/2025,239.25,241.95,238.91,241.39,5121877
01/21/2025,234.89,236.64,233.2601,236.06,3372076
01/17/2025,234.66,234.94,233.08,234.11,3371692
01/16/2025,234.18,234.33,230.45,230.50,2684261
01/15/2025,230.87,232.97,230.11,232.29,5232653
01/14/2025,228.92,229.545,225.95,227.76,3610218
01/13/2025,225.10,227.32,224.45,227.16,5327974
01/10/2025,231.42,231.46,227.43,228.78,5832896
01/08/2025,234.50,234.54,231.63,233.88,5011895
01/07/2025,240.00,240.00,233.14,233.96,5003649
01/06/2025,238.44,241.062,237.81,238.75,4487661
01/03/2025,233.39,235.9999,232.93,235.75,4560565
01/02/2025,234.36,235.02,229.7801,231.97,6385156
12/31/2024,235.11,235.27,231.76,232.52,4690615
12/30/2024,234.03,236.34,232.58,234.47,3975160
12/27/2024,239.07,239.38,235.154,237.49,4363256
12/26/2024,239.76,241.57,238.99,240.69,3575488
12/24/2024,238.92,240.54,238.56,240.53,2326657
12/23/2024,236.25,238.17,234.99,238.07,3986660
12/20/2024,230.91,237.86,230.19,235.96,7462446
12/19/2024,234.60,235.36,232.19,232.49,6692897
12/18/2024,240.79,241.45,231.70,232.24,8463578
12/17/2024,239.73,240.92,238.81,239.98,4072452
12/16/2024,239.36,241.65,238.85,241.44,4721635
12/13/2024,240.18,241.12,237.15,239.05,4338455
12/12/2024,237.84,238.905,237.26,238.03,3609195
12/11/2024,237.82,240.1299,237.00,239.37,4344770
12/10/2024,238.46,239.11,235.20,235.95,5617497
12/09/2024,239.94,240.7979,238.66,239.27,4016243
12/06/2024,240.33,241.88,240.07,240.84,3327417
12/05/2024,240.75,241.03,239.5794,239.91,2818968
12/04/2024,239.76,241.25,239.06,241.13,5420289
12/03/2024,234.95,236.86,234.49,236.80,2787954
12/02/2024,233.90,236.83,233.84,235.95,4699113
11/29/2024,232.12,234.22,231.89,233.73,2084171
11/27/2024,233.17,233.31,229.53,231.58,3184662
11/26/2024,234.65,235.49,233.76,234.76,3114958
11/25/2024,235.36,235.77,232.53,233.59,5568644
11/22/2024,233.06,234.1399,232.22,233.60,3545419
11/21/2024,233.37,234.57,229.8003,233.48,5295868
11/20/2024,231.53,231.61,228.05,231.13,4437399
11/19/2024,228.01,231.52,228.01,231.33,3453400
11/18/2024,228.71,230.42,227.72,229.45,3086060
11/15/2024,231.63,231.93,227.95,228.71,5614916
11/14/2024,235.71,236.12,234.15,234.53,3300992
11/13/2024,235.65,237.07,234.60,235.33,3164919
11/12/2024,235.69,236.45,234.29,236.15,3765392
11/11/2024,237.13,237.28,234.44,235.85,3633605
11/08/2024,237.12,237.94,236.30,237.16,3618188
11/07/2024,234.97,237.69,234.86,237.42,5231461
11/06/2024,231.27,233.78,230.58,233.35,5483910
11/05/2024,224.43,227.07,224.43,226.89,3636483
11/04/2024,224.12,225.3499,222.79,223.74,3155985
11/01/2024,222.48,225.58,222.18,223.91,5782895
10/31/2024,227.09,227.09,222.16,222.24,6055103
10/30/2024,231.19,231.81,229.46,229.61,4170567
10/29/2024,230.66,233.99,229.80,233.32,3725832
10/28/2024,231.94,231.94,230.17,230.22,2949570
10/25/2024,230.40,232.875,229.96,230.29,4157391
10/24/2024,229.36,229.6672,227.74,229.10,2416361
10/23/2024,230.89,231.24,226.4817,228.43,3041820
10/22/2024,230.76,232.54,230.10,231.75,3084585
10/21/2024,230.19,232.02,229.77,231.99,3161192
10/18/2024,231.29,231.76,230.42,230.91,2268528
10/17/2024,232.59,232.72,230.09,230.09,3025591
10/16/2024,229.40,229.74,226.9238,229.39,2879422
10/15/2024,234.00,234.565,227.83,228.68,7089654
10/14/2024,232.28,234.30,232.171,233.82,4905062
10/11/2024,229.86,231.33,229.52,230.81,4424457
10/10/2024,228.93,231.005,228.29,230.41,2846118
10/09/2024,228.10,230.79,227.39,230.47,3789891
10/08/2024,225.35,228.30,224.835,227.92,3932395
10/07/2024,224.28,225.77,223.18,223.74,2215206
10/04/2024,225.69,225.85,222.92,225.29,2507672
10/03/2024,221.24,224.44,221.21,222.81,2892440
10/02/2024,220.31,222.895,219.06,221.89,2266152
10/01/2024,225.09,225.22,218.95,220.26,5647652
09/30/2024,224.12,225.90,223.00,225.76,2750944
09/27/2024,227.54,227.61,224.26,225.10,3046880
09/26/2024,228.63,228.8788,224.83,227.22,4622373
09/25/2024,223.17,225.23,223.07,224.25,3055768
09/24/2024,223.02,224.06,220.62,223.61,3512903
09/23/2024,222.33,222.62,221.41,222.09,3745263
09/20/2024,222.74,223.53,220.54,222.53,7246354
09/19/2024,223.27,225.005,222.05,223.62,6967039
09/18/2024,219.72,221.26,216.96,217.17,6370843
09/17/2024,221.80,222.14,218.06,219.17,3494960
09/16/2024,218.85,220.30,217.57,219.60,3448891
09/13/2024,219.61,220.99,218.72,220.44,4023662
09/12/2024,217.38,220.27,215.85,219.34,5303055
09/11/2024,211.08,217.87,207.74,217.54,6384366
09/10/2024,208.69,210.81,206.70,210.36,5061453
09/09/2024,206.45,207.49,204.54,207.26,5460988
09/06/2024,209.18,209.68,202.98,203.92,6220540
09/05/2024,208.16,211.95,207.97,209.35,4437616
09/04/2024,208.08,212.06,207.42,209.67,6165000
09/03/2024,218.00,218.16,209.01,210.21,7382879
08/30/2024,219.81,221.18,217.44,220.33,5024223
08/29/2024,219.48,222.57,216.88,217.44,6641827
08/28/2024,222.20,222.63,217.58,219.42,4501130
08/27/2024,219.78,222.96,218.70,222.49,3828001
08/26/2024,223.76,224.6025,220.02,221.15,3134436
08/23/2024,222.58,224.935,221.10,223.96,5340482
08/22/2024,226.84,227.37,219.93,220.39,4541819
08/21/2024,224.40,226.36,223.69,225.58,3769364
08/20/2024,224.46,225.81,222.94,224.26,3610789
08/19/2024,220.88,225.06,219.98,225.05,6502106
08/16/2024,219.86,221.825,219.26,221.40,3353151
08/15/2024,217.63,221.25,217.16,221.03,4740085
08/14/2024,215.00,215.94,211.96,214.85,4461232
08/13/2024,209.88,213.745,209.62,213.68,4999769
08/12/2024,206.27,208.91,205.31,207.31,4290100
08/09/2024,204.59,206.81,203.35,205.63,4767753
08/08/2024,200.91,205.22,198.00,204.71,7221370
08/07/2024,205.45,206.45,197.07,197.34,8826750
08/06/2024,200.43,204.645,198.30,200.59,12287860
08/05/2024,191.905,201.72,190.745,197.90,15714950
08/02/2024,205.04,206.73,201.25,204.72,9310849
08/01/2024,218.20,220.73,208.40,210.64,8495715
07/31/2024,216.39,219.5899,214.87,218.80,7307043
07/30/2024,216.12,216.33,208.30,209.91,5347259
07/29/2024,218.00,218.94,214.69,215.32,3671907
07/26/2024,216.45,218.00,214.45,216.28,5848931
07/25/2024,215.65,218.865,210.46,213.57,10578960
07/24/2024,222.26,222.959,215.36,215.88,7150360
07/23/2024,225.16,227.23,224.90,225.20,2765373
07/22/2024,223.79,226.36,222.84,226.10,5300750
07/19/2024,223.19,224.56,220.38,220.87,4236413
07/18/2024,226.82,226.86,221.55,224.38,5418587
07/17/2024,228.10,228.33,224.25,224.36,6220241
07/16/2024,234.77,234.8878,231.77,233.44,3826107
07/15/2024,234.99,236.53,232.89,234.22,4313995
07/12/2024,232.37,236.28,231.56,233.80,4883776
07/11/2024,238.04,238.14,231.055,231.73,7055193
07/10/2024,235.89,237.845,234.57,237.68,4374692
07/09/2024,235.665,236.23,232.94,234.28,4342332
07/08/2024,233.63,235.15,233.23,234.47,3835519
07/05/2024,232.43,233.91,231.47,232.88,3335919
07/03/2024,228.75,232.28,228.56,232.17,3124564
07/02/2024,225.96,229.10,225.96,229.08,3538260
07/01/2024,226.57,228.32,223.28,227.94,4640834
06/28/2024,227.14,230.39,225.92,226.23,6244102
06/27/2024,225.80,227.47,225.53,226.35,3961767
06/26/2024,226.16,227.31,224.48,226.24,4729798
06/25/2024,224.05,226.62,222.79,226.50,4564541
06/24/2024,225.64,226.66,222.36,222.42,6874280
06/21/2024,228.86,229.755,227.37,228.41,6780393
06/20/2024,232.45,232.59,228.04,228.81,6621463
06/18/2024,231.35,232.17,230.49,231.41,4338861
06/17/2024,228.23,231.925,227.45,231.12,5801349
06/14/2024,226.50,227.80,226.35,227.67,3932277
06/13/2024,227.13,227.76,225.44,226.82,6346797
06/12/2024,222.355,227.31,221.95,225.04,8910628
06/11/2024,215.60,220.23,215.50,220.17,6359602
06/10/2024,214.87,216.73,214.73,216.15,3367696
06/07/2024,215.33,216.52,214.54,215.60,3199312
06/06/2024,215.94,216.0863,214.53,215.10,3528836
06/05/2024,212.80,215.82,212.46,215.82,4394432
06/04/2024,210.58,211.465,209.50,211.13,3202665
06/03/2024,211.77,211.96,208.17,210.69,4814031
05/31/2024,210.45,210.49,205.53,210.16,6040506
05/30/2024,212.34,212.66,209.18,209.83,5229852
