date,open,high,low,close,volume
02/11/2025,145.88,146.32,145.44,146.03,6635040
02/10/2025,146.60,146.65,145.46,146.30,7374356
02/07/2025,147.33,147.92,146.32,146.43,11199690
02/06/2025,148.15,148.46,146.90,147.12,12422220
02/05/2025,147.40,148.715,147.10,148.45,10042280
02/04/2025,145.82,147.20,145.59,147.04,11762050
02/03/2025,145.98,148.1599,145.94,147.44,13001510
01/31/2025,147.58,148.5899,146.815,146.87,9213355
01/30/2025,146.25,147.745,146.24,147.34,7705191
01/29/2025,146.09,146.58,145.30,145.66,8159200
01/28/2025,147.54,147.74,146.48,146.52,9686428
01/27/2025,145.10,147.58,144.97,147.55,12311300
01/24/2025,143.44,144.61,143.27,144.31,8127872
01/23/2025,142.57,144.095,141.87,144.08,8032946
01/22/2025,141.80,142.63,141.13,142.18,8189904
01/21/2025,140.92,142.51,140.90,142.50,7257829
01/17/2025,140.94,141.40,140.18,140.18,7668273
01/16/2025,140.13,141.34,139.58,141.13,8512136
01/15/2025,140.39,141.24,139.77,140.57,11388430
01/14/2025,141.27,141.27,138.88,140.00,10277830
01/13/2025,139.79,141.82,139.67,141.46,9422242
01/10/2025,139.95,140.95,139.355,139.64,10344050
01/08/2025,139.97,140.635,138.69,140.43,7827396
01/07/2025,139.36,140.93,139.36,139.71,12639740
01/06/2025,138.90,140.04,138.56,139.02,8653497
01/03/2025,137.89,139.3499,137.74,138.96,8289345
01/02/2025,138.26,138.77,137.12,137.61,8973032
12/31/2024,137.58,138.12,136.785,137.57,6627203
12/30/2024,138.15,138.15,136.73,137.24,6890556
12/27/2024,138.83,139.81,138.36,138.95,5948122
12/26/2024,138.83,139.7199,138.68,139.60,4720422
12/24/2024,138.63,139.325,138.04,139.32,3139251
12/23/2024,137.60,138.945,136.99,138.75,8050472
12/20/2024,137.49,139.295,137.05,138.00,12098410
12/19/2024,137.06,137.80,135.945,136.28,11929340
12/18/2024,139.12,140.04,137.225,137.32,14448060
12/17/2024,138.70,140.24,138.60,139.21,10280070
12/16/2024,140.88,141.65,139.20,139.31,9476630
12/13/2024,140.83,141.45,140.1299,140.99,7599399
12/12/2024,142.17,142.54,140.91,141.01,5994213
12/11/2024,143.52,143.64,142.105,142.14,6895008
12/10/2024,144.99,145.10,143.615,144.10,7200614
