date,open,high,low,close,volume
02/11/2025,224.91,225.54,223.225,223.78,2769408
02/10/2025,226.48,227.57,225.44,226.35,2981852
02/07/2025,228.52,230.26,225.40,225.58,2768250
02/06/2025,229.82,230.69,228.67,230.08,3023255
02/05/2025,230.31,230.88,228.63,229.17,2951570
02/04/2025,229.24,232.03,229.21,231.80,1993527
02/03/2025,227.14,230.09,225.21,229.10,3730069
01/31/2025,233.49,235.85,231.72,232.17,2546388
01/30/2025,234.01,234.57,231.45,233.20,2693211
01/29/2025,231.79,232.50,230.18,230.94,3269081
01/28/2025,230.65,232.24,229.55,231.60,2605889
01/27/2025,226.56,231.42,226.55,231.32,3534932
01/24/2025,231.47,231.71,229.565,230.01,1771911
01/23/2025,229.69,231.42,229.08,231.42,1944382
01/22/2025,230.41,231.39,229.64,230.03,2474403
01/21/2025,231.29,231.50,228.37,230.90,3018494
01/17/2025,229.03,230.66,228.66,229.22,1942339
01/16/2025,226.89,226.89,225.15,226.05,2425986
01/15/2025,226.75,227.47,225.18,227.28,3098776
01/14/2025,224.30,225.47,220.81,221.64,3381229
01/13/2025,219.14,222.10,218.30,222.07,2711005
01/10/2025,222.16,222.54,219.62,220.82,3434810
01/08/2025,222.30,223.89,221.18,223.01,2654877
01/07/2025,226.58,227.25,221.57,222.38,2777007
01/06/2025,228.32,228.49,225.54,226.77,3393135
01/03/2025,222.64,226.02,221.52,225.88,3250769
01/02/2025,224.44,225.12,219.99,221.40,4583242
12/31/2024,227.28,227.95,223.97,224.35,2625399
12/30/2024,226.25,227.5092,224.63,226.05,2706597
12/27/2024,232.05,232.05,228.63,229.74,3048693
12/26/2024,233.97,234.45,232.57,233.60,2055415
12/24/2024,230.14,234.50,229.945,234.47,1276273
12/23/2024,228.89,229.40,226.18,229.17,2961256
12/20/2024,226.04,232.51,225.50,228.91,5458147
12/19/2024,231.76,232.418,226.965,228.33,6602627
12/18/2024,237.53,240.28,227.71,228.64,7202518
12/17/2024,239.76,239.93,237.45,239.43,5110481
12/16/2024,236.71,238.85,236.25,238.68,3007198
12/13/2024,234.49,235.589,233.90,235.49,2691256
12/12/2024,236.40,236.66,234.26,234.56,2436188
12/11/2024,234.37,236.60,234.24,236.52,2867412
12/10/2024,232.10,234.60,231.6701,232.44,3815443
12/09/2024,234.14,235.572,231.23,232.06,3256865
12/06/2024,229.86,232.85,229.84,232.80,2444609
12/05/2024,226.37,229.03,226.27,228.00,3660915
12/04/2024,224.55,226.37,224.31,226.15,2769742
12/03/2024,223.80,224.21,222.86,224.07,3525712
12/02/2024,223.87,224.77,223.45,224.24,4067668
11/29/2024,220.53,222.35,220.40,222.30,885704
11/27/2024,221.54,221.85,219.51,220.04,1914533
11/26/2024,220.22,221.51,219.8716,221.13,1989811
11/25/2024,220.70,222.265,220.22,220.33,3680192
11/22/2024,215.62,218.73,215.62,218.10,2275349
11/21/2024,215.27,215.54,213.34,215.00,2734286
11/20/2024,214.93,215.065,212.38,214.62,2989550
11/19/2024,213.42,216.23,212.43,215.57,1967937
11/18/2024,216.01,217.06,214.03,215.41,2376552
11/15/2024,214.07,215.10,212.46,213.44,3912377
11/14/2024,218.02,218.90,215.10,215.28,2310476
11/13/2024,217.99,219.54,217.24,218.38,2941664
11/12/2024,218.90,218.93,215.75,216.53,5267591
11/11/2024,218.50,220.39,217.51,219.46,4604977
11/08/2024,212.08,216.27,211.85,215.12,3893103
11/07/2024,209.83,212.96,209.76,212.11,4010570
11/06/2024,207.55,209.59,205.90,209.42,4699351
11/05/2024,199.85,202.99,199.68,202.93,2212139
11/04/2024,199.25,201.05,198.91,199.40,2384665
11/01/2024,200.51,202.15,199.90,200.09,3803941
10/31/2024,199.50,199.95,196.77,196.89,3098973
10/30/2024,200.71,201.61,199.79,199.95,2439905
10/29/2024,199.61,200.65,198.98,200.23,2123542
10/28/2024,202.39,203.08,201.19,201.28,2051284
